# Tab-separated values. Open with a spreadsheet app such as Excel.	
	
# READ-ONLY. DO NOT MODIFY OR DELETE.	
	
#Template Name	#Size (bytes)
GcDefaultMissionSubstanceEnum	0x0000000000000004
GcDefaultSaveData	0x000000000004EAC0
GcDeprecatedAssetsTable	0x0000000000000010
GcDestroyAction	0x0000000000000001
GcDestructableComponentData	0x0000000000000148
GcDiscoveryHelperTimings	0x000000000000000C
GcDiscoveryOwner	0x00000000000000C4
GcDiscoveryTypes	0x0000000000000004
GcDiscoveryWorth	0x000000000000001C
GcDisplayText	0x0000000000000304
GcDistanceScaleComponentData	0x0000000000000018
GcDoShipFlybyClose	0x000000000000000C
GcDoShipFlybyIntercept	0x0000000000000008
GcDoShipFlybyOverhead	0x0000000000000008
GcDroneComponentData	0x0000000000000068
GcDroneControlData	0x000000000000002C
GcDroneData	0x00000000000001C0
GcEncounterComponentData	0x0000000000000010
GcEncyclopediaComponentData	0x0000000000000004
GcEngineComponentData	0x0000000000000004
GcEntitlementRewardData	0x0000000000000070
GcEntitlementRewardsTable	0x0000000000000010
GcEnvironmentGlobals	0x0000000000000460
GcEnvironmentSpawnData	0x0000000000000050
GcExactResource	0x0000000000000090
GcExperienceSpawnTable	0x00000000000000D0
GcExperienceTimers	0x0000000000000020
GcExplosionData	0x00000000000000C0
GcExplosionDataTable	0x0000000000000010
GcExternalObjectFileList	0x0000000000000038
GcExternalObjectList	0x0000000000000050
GcExternalObjectListOptions	0x0000000000000230
GcFactionSelectOptions	0x0000000000000008
GcFlyingSnakeData	0x0000000000000040
GcFogProperties	0x00000000000000DC
GcFoliageComponentData	0x0000000000000004
GcFontData	0x0000000000000084
GcFontTable	0x0000000000000420
GcFontTypesEnum	0x0000000000000004
GcGalacticAddressData	0x0000000000000014
GcGalaxyAudioSetupData	0x0000000000000044
GcGalaxyCameraData	0x0000000000000064
GcGalaxyGenerationSetupData	0x0000000000000180
GcGalaxyGlobals	0x00000000000016E0
GcGalaxyInfoIcons	0x0000000000000B58
GcGalaxyMarkerSettings	0x0000000000000120
GcGalaxyMarkerTypes	0x0000000000000004
GcGalaxyRenderAnostreakData	0x0000000000000030
GcGalaxyRenderSetupData	0x0000000000000210
GcGalaxySolarSystemOrbitParams	0x000000000000001C
GcGalaxySolarSystemParams	0x0000000000000058
GcGalaxyStarAnomaly	0x0000000000000004
GcGalaxyStarAttributesData	0x00000000000001A8
GcGalaxyStarColours	0x0000000000000040
GcGalaxyStarTypes	0x0000000000000004
GcGalaxyVoxelAttributesData	0x0000000000000084
GcGalaxyWaypointTypes	0x0000000000000004
GcGameMode	0x0000000000000004
GcGameplayGlobals	0x0000000000001120
GcGeneratedShipCounts	0x0000000000000014
GcGeneratorUnitComponentData	0x00000000000001A0
GcGenericIconTypes	0x0000000000000004
GcGenericMissionSequence	0x0000000000000410
GcGenericRewardTableEntry	0x0000000000000028
GcGoToStateAction	0x0000000000000018
GcGraphicsGlobals	0x0000000000000940
GcHazardValues	0x0000000000000008
GcHeavyAirColourData	0x0000000000000020
GcHeavyAirList	0x0000000000000010
GcHeavyAirSetting	0x00000000000000A0
GcHeavyAirSettingValues	0x0000000000000020
GcHUDComponent	0x0000000000000028
GcHUDImageData	0x00000000000000C0
GcHUDLayerData	0x0000000000000038
GcHUDManagerData	0x00000000000001D0
GcHUDStartup	0x0000000000000008
GcHUDStartupTable	0x0000000000000080
GcHUDTextData	0x0000000000000120
GcInputActionMapping	0x0000000000000008
GcInteractionActivationCost	0x0000000000000038
GcInteractionBaseBuildingState	0x0000000000000018
GcInteractionBuffer	0x0000000000007D00
GcInteractionBufferType	0x0000000000000004
GcInteractionComponentData	0x0000000000000170
GcInteractionData	0x0000000000000020
GcInteractionDof	0x0000000000000014
GcInteractionType	0x0000000000000004
GcInventoryBaseStat	0x0000000000000030
GcInventoryBaseStatBonus	0x0000000000000008
